"transaction_id","amount","transaction_date"
2945,"2249.00","2018-12-13 15:51:59"
2710,"2108.00","2018-04-21 19:41:51"
3125,"2001.00","2018-09-02 06:17:00"
2597,"1911.00","2018-11-13 17:07:25"
3064,"1901.00","2018-05-08 13:21:01"
2984,"1856.00","2018-09-11 15:16:47"
3098,"1839.00","2018-02-19 22:48:25"
3139,"1814.00","2018-06-03 20:02:28"
2582,"1813.00","2018-06-22 06:16:50"
2508,"1803.00","2018-07-26 23:02:51"
2760,"1802.00","2018-11-27 15:36:05"
3143,"1795.00","2018-06-10 04:54:27"
2497,"1790.00","2018-09-04 01:35:39"
3252,"1769.00","2018-11-17 05:30:43"
2696,"1724.00","2018-12-19 16:10:03"
2913,"1691.00","2018-01-24 13:17:19"
2650,"1685.00","2018-01-04 03:05:18"
2667,"1678.00","2018-01-23 06:29:37"
2672,"1660.00","2018-11-27 17:27:34"
2520,"1634.00","2018-12-24 15:55:06"
3318,"1592.00","2018-06-27 01:27:09"
2789,"1534.00","2018-03-04 15:50:53"
2610,"1530.00","2018-03-12 00:44:01"
1424,"1449.00","2018-08-07 11:07:32"
2699,"1430.00","2018-02-17 01:27:19"
3225,"1398.00","2018-07-03 14:56:36"
1459,"1379.00","2018-08-05 01:06:38"
2752,"1302.00","2018-07-31 05:15:17"
2461,"1301.00","2018-12-21 09:56:32"
1318,"1296.00","2018-12-18 17:20:33"
1408,"1279.00","2018-11-27 17:20:29"
1757,"1203.00","2018-05-29 02:55:08"
1395,"1179.00","2018-10-07 18:29:20"
1415,"1177.00","2018-01-30 18:31:00"
1431,"1176.00","2018-09-10 22:49:41"
1790,"1162.00","2018-06-04 03:46:15"
1349,"1160.00","2018-07-14 06:09:18"
1334,"1159.00","2018-07-11 16:55:22"
1326,"1154.00","2018-12-13 12:09:58"
1842,"1145.00","2018-02-27 15:27:32"
1204,"1123.00","2018-11-25 20:44:07"
1005,"1119.00","2018-03-01 21:29:05"
1348,"1108.00","2018-07-24 22:42:00"
1129,"1108.00","2018-06-28 21:13:52"
1191,"1103.00","2018-06-17 15:59:45"
1622,"1102.00","2018-06-21 13:16:25"
1520,"1095.00","2018-09-25 23:23:21"
1827,"1086.00","2018-04-18 23:23:29"
1359,"1077.00","2018-04-03 03:23:37"
1856,"1075.00","2018-09-23 19:20:23"
1863,"1074.00","2018-12-18 13:33:37"
1480,"1072.00","2018-02-19 16:00:43"
1341,"1063.00","2018-04-08 06:03:50"
1536,"1056.00","2018-09-06 21:55:02"
1629,"1054.00","2018-11-20 05:24:28"
1549,"1053.00","2018-10-19 01:07:37"
1377,"1046.00","2018-05-13 06:31:20"
1119,"1035.00","2018-12-25 19:10:42"
1293,"1033.00","2018-12-30 23:23:09"
99,"1031.00","2018-01-02 23:27:46"
1291,"1029.00","2018-01-08 02:34:32"
1800,"1014.00","2018-12-03 02:38:52"
1821,"1011.00","2018-03-20 13:05:54"
1877,"1001.00","2018-08-16 10:01:00"
136,"974.00","2018-07-18 09:19:08"
236,"852.00","2018-03-20 10:19:25"
384,"757.00","2018-10-07 14:40:34"
224,"749.00","2018-06-06 21:50:17"
249,"691.00","2018-06-17 02:45:49"
16,"626.00","2018-09-09 03:39:06"
408,"543.00","2018-04-10 06:08:01"
2241,"525.00","2018-04-21 18:40:47"
2330,"484.00","2018-10-16 13:27:33"
2192,"466.00","2018-11-13 05:58:47"
2103,"458.00","2018-09-02 11:20:42"
2409,"445.00","2018-02-09 11:38:37"
466,"393.00","2018-10-23 22:47:13"
38,"389.00","2018-03-09 04:51:38"
812,"333.00","2018-01-08 11:15:36"
764,"325.00","2018-04-11 02:50:37"
2164,"313.00","2018-12-28 16:20:31"
682,"291.00","2018-07-21 11:08:39"
3423,"283.00","2018-04-09 10:24:32"
329,"269.00","2018-04-09 18:28:25"
690,"267.00","2018-07-13 19:47:49"
292,"267.00","2018-11-26 20:54:39"
528,"258.00","2018-06-18 23:05:30"
3352,"245.00","2018-05-30 12:34:04"
2240,"233.00","2018-11-23 09:08:05"
721,"233.00","2018-07-17 10:11:12"
2188,"229.00","2018-01-11 13:20:31"
696,"206.00","2018-10-11 23:29:33"
2121,"188.00","2018-08-21 20:46:33"
3338,"178.00","2018-10-19 12:32:37"
3457,"175.00","2018-01-07 01:10:54"
3377,"160.00","2018-05-19 19:33:38"
2051,"137.00","2018-10-28 02:12:58"
654,"121.00","2018-06-30 01:56:19"
560,"117.00","2018-07-06 16:12:08"
606,"89.00","2018-07-04 17:28:06"
